# x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
800.14,781.28,796.81,835.66,909.5,1012,1081.6,1116.1,1130.6,1116.9,847.31,785.65,781.31,836.56,887,883.29,827.54,770.24,773.08,834.97
800.37,781.38,797.26,835.5,909.67,1012.2,1081.8,1116.1,1131,1116.7,847.37,785.5,781.41,836.38,886.96,883.16,827.5,770.19,772.92,834.88
800.37,781.38,797.19,835.85,909.57,1012.2,1081.8,1116,1131,1117.1,847.37,785.5,781.29,836.58,887,883.16,827.5,770.1,772.92,834.91
800.21,781.38,797.21,835.6,909.6,1012.2,1081.8,1116,1131,1116.9,847.5,785.5,781.31,836.44,887.04,883.16,827.5,770,772.92,835.09
800.31,781.29,797.16,835.5,909.61,1012.1,1081.6,1116,1131,1116.9,847.45,785.55,781.38,836.38,887.04,883.28,827.43,770,772.92,835
800.37,781.29,797.19,835.52,909.73,1012.2,1081.8,1116,1131.1,1116.9,847.37,785.55,781.29,836.48,887.05,883.16,827.5,770,772.85,835
800.21,781.29,797.3,835.5,909.73,1012.2,1081.9,1116,1131.1,1116.9,847.5,785.55,781.27,836.38,887.05,883.16,827.41,770.1,772.85,835
800.08,781.23,797.3,835.5,909.71,1012.1,1081.9,1116.1,1131.2,1117.1,847.38,785.47,781.27,836.38,887,883.28,827.59,770.28,772.85,834.91
800,780.94,797,835.4,909.71,1012.2,1082,1116.2,1131.2,1117,847.71,785.35,781.26,836.44,887,883.16,827.5,770.1,772.85,835
799.74,780.84,796.9,834.86,909.91,1012.2,1082.4,1116.4,1131.4,1117.3,847.33,785.38,780.97,836.59,886.91,883.16,827.47,770,772.93,835.09
799.56,780.42,796.59,834.41,909.83,1012.3,1082.6,1116.6,1131.7,1118,847.3,785.42,781.06,836.55,887,883.25,827.43,769.93,772.92,835.5
798.94,779.91,795.93,834.5,909.83,1012.1,1082.7,1117.4,1132.1,1118.1,847.35,785.5,780.83,836.73,887,883.28,827.13,770,772.91,835.41
798.58,779.5,795.31,834.36,909.86,1012.2,1083.1,1117.9,1132.8,1118.2,847.45,786.03,781,836.32,886.81,883.16,827.26,769.83,773.04,835.28
798.41,778.8,794.34,833.39,909.79,1012.1,1083.4,1118.1,1133.4,1118.8,847.93,786.17,781.28,836.22,886.37,883.41,827.13,769.91,772.96,835.23
