# x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
809.39,791.22,808.16,845.56,918.65,1021.5,1092,1127,1141.6,1126.4,850.76,788.82,784.47,840.3,890.41,888.27,833.08,776,779.24,840.96
809.35,791.41,808.28,845.64,918.91,1021.4,1092.2,1127.2,1141.7,1126.2,850.85,788.93,784.38,840.32,891.09,888.4,833.16,775.88,779.13,841.16
809.35,791.41,808.28,845.64,918.91,1021.4,1092.2,1127.2,1141.7,1126.3,850.85,788.93,784.38,840.32,891.09,888.4,833.16,775.88,779.13,841.05
809.44,791.29,808.19,845.62,919,1021.5,1092.2,1127,1141.7,1126.1,850.92,788.86,784.45,840.43,891,888.5,833.16,775.78,779.13,841
809.38,791.29,808.16,845.64,919,1021.4,1092.1,1127,1141.7,1126.1,851,788.86,784.38,840.32,891,888.4,833.28,775.78,779.13,841
809.44,791.41,808.17,845.5,919,1021.5,1092.1,1127.1,1141.7,1126.2,850.92,788.93,784.37,840.27,891,888.5,833.28,775.85,779.13,841.28
809.12,791.41,807.65,845.27,919,1021.6,1092.1,1127.5,1142,1126.6,850.77,788.93,784.35,840.18,891,888.6,833.41,775.93,779,841.09
808.8,791.09,807.3,845.05,918.91,1021.6,1092.4,1127.6,1142.1,1126.9,850.88,788.84,784.27,840.09,891.09,888.6,832.96,775.92,779,841
808.6,790.62,807.03,844.67,919,1021.6,1092.8,1127.9,1142.6,1127.1,850.96,788.86,784.25,840.04,891,888.6,833.11,776,779.09,840.91
808,790.1,806.41,844.5,919,1021.6,1093,1128.3,1143,1127.6,851,788.97,784.45,840.27,891,888.6,833,775.88,779.09,841.37
807.5,789.41,805.22,844,919,1021.4,1093.7,1128.9,1143.6,1128.1,851,788.93,784.89,839.79,891,888.4,833.15,776.08,779.17,841.41
807.24,788.72,804.97,843.5,919.11,1021.7,1094.1,1129.5,1144.1,1128.1,850.96,789.22,784.69,839.73,890.58,888.11,833,776,779.14,841.41
806.5,787.55,804.11,842.88,919,1021.6,1094.5,1130.3,1144.8,1128.5,851,789.29,784.71,839.29,890.5,888,832.94,775.88,779.09,841.4
806,786.45,802.76,842.5,919,1021.8,1094.9,1131.1,1145.6,1129.1,851.5,789.59,784.79,839,889.79,887.5,832.42,775.71,779.5,841.41
805.36,785.09,801.23,841.67,919.09,1021.7,1095.3,1132.3,1146.6,1129.9,851.55,789.84,784.68,838.88,888.91,886.88,832.39,776.05,779.6,841.59
804.5,783.72,799.56,840.84,919.1,1021.5,1096.1,1133.5,1147.6,1130.1,851.71,790.22,784.56,838.32,888.3,886,832.11,776,779.74,841.41
803.64,781.89,797.61,840.16,919.05,1021.6,1096.5,1134.9,1148.8,1131,851.8,790.71,784.81,837.84,887.1,885.47,831,775.81,779.96,841.5
