2.8519,-2.5672,-2.5788,2.8207
2.8436,-2.5608,-2.5795,2.8201
2.8436,-2.5612,-2.5795,2.8205
2.8372,-2.5578,-2.5816,2.8261
2.8393,-2.5574,-2.5823,2.8264
2.8396,-2.5613,-2.5787,2.8208
2.8396,-2.5605,-2.583,2.8242
2.8458,-2.5591,-2.5818,2.8207
2.8431,-2.5548,-2.5788,2.8239
2.8422,-2.5529,-2.5772,2.8224
2.8385,-2.5486,-2.5672,2.8231
2.8512,-2.5538,-2.5546,2.8229
2.8381,-2.5358,-2.5461,2.8244
2.8369,-2.5404,-2.526,2.8213
2.8314,-2.5196,-2.5176,2.815
2.8428,-2.5237,-2.498,2.8128
2.8364,-2.5104,-2.4792,2.8107
2.83,-2.4926,-2.4565,2.7997
2.8217,-2.4801,-2.4393,2.8038
2.8217,-2.4574,-2.4208,2.8067
2.8234,-2.4494,-2.389,2.7938
2.8214,-2.4316,-2.3594,2.7958
2.8137,-2.4055,-2.3299,2.7928
2.8136,-2.3832,-2.2934,2.7799
2.7986,-2.3573,-2.254,2.7736
2.7865,-2.3174,-2.2082,2.7666
2.784,-2.2932,-2.1638,2.7451
2.766,-2.2621,-2.1257,2.7393
2.754,-2.2231,-2.0858,2.7369
2.7395,-2.1804,-2.0375,2.7093
2.7322,-2.1523,-1.9818,2.6936
2.7023,-2.1059,-1.9303,2.6724
2.6648,-2.0546,-1.8853,2.6403
2.6588,-2.0121,-1.8426,2.6279
2.6221,-1.9635,-1.8013,2.5962
2.5925,-1.9259,-1.746,2.5547
2.5665,-1.8851,-1.707,2.533
2.5305,-1.8328,-1.6729,2.5014
2.4944,-1.7938,-1.6173,2.4527
2.4512,-1.7538,-1.585,2.4257
2.4116,-1.7085,-1.5509,2.3848
2.3675,-1.6674,-1.5113,2.344
2.3279,-1.6246,-1.48,2.3075
2.2885,-1.5885,-1.4357,2.2605
2.2354,-1.5405,-1.4028,2.2223
2.2024,-1.5079,-1.3772,2.1858
2.1466,-1.4619,-1.3433,2.1356
2.1021,-1.4233,-1.3093,2.086
2.0437,-1.374,-1.2792,2.0483
2.0043,-1.3306,-1.2479,1.9982
1.9467,-1.2929,-1.2112,1.9427
1.8903,-1.2446,-1.1798,1.9021
1.8447,-1.2016,-1.141,1.8482
1.7956,-1.1693,-1.113,1.7985
1.7401,-1.1284,-1.0823,1.7544
1.6951,-1.0849,-1.063,1.7104
1.6374,-1.0456,-1.032,1.6631
1.5763,-1.0036,-0.99754,1.6093
1.5344,-0.9654,-0.97297,1.5603
1.4644,-0.92621,-0.94625,1.515
1.4155,-0.8912,-0.91188,1.4561
1.3596,-0.85617,-0.87663,1.3984
1.3064,-0.81684,-0.84766,1.3407
1.2517,-0.7808,-0.81723,1.2831
1.1842,-0.74947,-0.79019,1.2364
1.1273,-0.71131,-0.75848,1.1714
1.0578,-0.66979,-0.73158,1.1076
0.99978,-0.64321,-0.70145,1.0478
0.92994,-0.60004,-0.67813,0.9848
0.87332,-0.57632,-0.64113,0.91222
0.8064,-0.53566,-0.61465,0.85439
0.73156,-0.49989,-0.59256,0.79368
0.66845,-0.46779,-0.56165,0.72637
0.58791,-0.42859,-0.53587,0.66322
0.51831,-0.39379,-0.50608,0.59169
0.44806,-0.36387,-0.47738,0.53386
0.38323,-0.32828,-0.44807,0.45716
0.31047,-0.3007,-0.42445,0.39397
0.24532,-0.27129,-0.38634,0.32393
0.18301,-0.2469,-0.35425,0.25541
0.1221,-0.21263,-0.32149,0.18474
0.050041,-0.18399,-0.29204,0.11621
0.00099928,-0.15518,-0.26028,0.057204
-0.068529,-0.13019,-0.23012,0.0020808
-0.096578,-0.12064,-0.19556,-0.073418
-0.15221,-0.088735,-0.17549,-0.12902
-0.18373,-0.071767,-0.1459,-0.18141
-0.21985,-0.049651,-0.12295,-0.23631
-0.26057,-0.024414,-0.10166,-0.27341
-0.28836,-0.00038347,-0.085638,-0.31699
-0.29249,-0.0079132,-0.064976,-0.34784
-0.32943,0.023785,-0.044907,-0.37616
-0.34374,0.03559,-0.032529,-0.39993
-0.34065,0.04345,-0.014877,-0.42647
-0.35799,0.060662,-0.0064826,-0.43281
-0.35125,0.061678,0.0062231,-0.44112
-0.34777,0.078155,0.012875,-0.44061
-0.31595,0.068786,0.027374,-0.45142
-0.30048,0.071638,0.028085,-0.43097
-0.27111,0.063809,0.035117,-0.42215
-0.2656,0.06984,0.044428,-0.41263
-0.23703,0.067304,0.049555,-0.3926
-0.21587,0.075118,0.050937,-0.37649
-0.19001,0.079507,0.056243,-0.34768
-0.17938,0.083983,0.05031,-0.31717
-0.14577,0.081024,0.047477,-0.2971
-0.11224,0.074918,0.052784,-0.26135
-0.067856,0.058119,0.053321,-0.23608
-0.036647,0.050097,0.055122,-0.21217
-0.0078946,0.056545,0.045762,-0.16754
0.025612,0.051523,0.042397,-0.13514
0.055891,0.043477,0.037036,-0.097051
0.095485,0.040345,0.030122,-0.055687
0.12909,0.030858,0.023999,-0.013506
0.14983,0.035164,0.026087,0.016128
0.18568,0.02523,0.017798,0.054877
0.2041,0.032755,0.016353,0.094913
0.23895,0.029541,0.020743,0.11709
0.27022,0.024138,0.024395,0.14144
0.32055,0.016501,0.017688,0.17577
0.34827,0.0016837,0.012734,0.2172
0.38404,0.0064443,0.0028953,0.24639
0.41468,0.0040239,0.0032195,0.28012
0.44389,0.0037626,-0.0060146,0.32364
0.47752,-0.0043194,-0.0054834,0.35215
0.50349,-0.0033862,-0.00033896,0.38335
0.53703,-0.012634,-0.004762,0.42816
