x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
769.4,722.4,735.22,801.94,902.5,1006.4,1105.2,1169.6,1182.4,1138.7,844.96,798.96,766.3,772.03,783.5,787.58,774.5,762.52,790.96,838.88
769.5,722.09,734.97,801.54,902.18,1006.3,1105.8,1170.1,1182.6,1139,845,798.91,763.9,767.59,776.21,780.5,769.73,760.56,791.16,839
769.4,722.4,734.66,801.06,902.05,1006.5,1105.9,1170.1,1182.6,1138.9,844.96,798.96,761.72,762.91,768.92,772.87,765,758.56,791.13,838.91
769.4,722.33,734.63,800.94,901.98,1006.6,1105.9,1170.3,1182.6,1139,844.96,798.88,758.93,757.43,761.6,765.46,759.68,755.83,790.96,839
769.67,722.5,734.67,800.95,901.88,1006.5,1106,1170.1,1182.6,1139,844.88,798.5,756.5,752.71,754.6,758.13,754.62,753.33,790.96,839
770,723.15,735,800.94,901.95,1006.6,1106.1,1169.9,1182.3,1138.8,844.71,798.2,754,747.43,746.9,750.65,749.41,750.56,790.82,838.84
770.05,723.52,735.29,800.79,901.8,1007,1106.1,1170,1182,1138.8,844.24,797.62,751.19,742.44,739.24,742.92,743.82,748,790.33,838.63
770.5,724.26,736.03,801,901.66,1007.1,1106.1,1169.2,1181.3,1138.3,844,796.96,748.1,737.5,731.66,735.02,738.59,744.6,789.88,838.38
771,725.14,736.9,801.08,901.18,1007.3,1106.1,1168.5,1180.5,1137.9,843.8,796,744.83,731.82,724.21,727.13,733.29,741.87,788.92,838.21
771.14,726.17,737.71,801.42,901.27,1007.6,1105.9,1168.1,1179.4,1137.5,843.19,795,741.87,726.58,716.73,719.49,727.41,738.3,788.44,837.71
771.91,727.17,738.65,802.08,901.12,1007.9,1105.6,1167,1178.4,1137,842.91,794.48,738.62,721.18,708.9,711.4,721.45,735.19,787.65,837.5
772.48,728.5,739.44,802.14,901.18,1007.9,1105.2,1166.5,1177.6,1136.1,842.62,793.58,735.34,715.69,701.27,703.32,715.87,732.13,786.96,836.95
