0.22569,-0.043861,-0.061763,-0.00038848
0.25151,-0.04119,-0.059626,0.020578
0.25606,-0.032624,-0.057836,0.050213
0.27749,-0.036263,-0.060617,0.087463
0.29695,-0.036747,-0.060938,0.11026
0.33746,-0.049352,-0.066885,0.13642
0.35176,-0.051524,-0.071716,0.16777
0.3801,-0.050026,-0.068118,0.1846
0.41415,-0.057794,-0.082174,0.21809
0.42577,-0.054749,-0.078476,0.24084
0.44631,-0.046494,-0.084756,0.26484
0.46898,-0.043418,-0.10018,0.29347
0.49953,-0.05162,-0.099898,0.3189
0.51865,-0.061764,-0.094714,0.34488
0.54351,-0.066148,-0.09399,0.37617
0.55983,-0.057562,-0.10023,0.39781
0.58181,-0.068873,-0.10966,0.43664
0.61186,-0.066438,-0.11107,0.45431
0.61987,-0.049392,-0.11734,0.47705
0.62936,-0.045777,-0.11896,0.51156
0.63853,-0.032974,-0.13537,0.54452
0.6588,-0.037554,-0.12974,0.55934
0.68506,-0.0457,-0.13268,0.58871
0.70389,-0.047678,-0.13688,0.61263
0.7373,-0.055411,-0.14707,0.64784
0.75802,-0.05565,-0.14564,0.66339
0.77407,-0.051938,-0.14916,0.68759
0.80103,-0.048879,-0.14692,0.70765
0.80934,-0.052144,-0.14655,0.72293
0.85789,-0.074577,-0.15136,0.74723
0.90699,-0.098276,-0.15653,0.77781
0.93973,-0.1183,-0.15953,0.80891
0.97456,-0.13945,-0.16175,0.81042
0.97322,-0.12606,-0.16133,0.81446
0.98518,-0.12299,-0.17307,0.82485
0.99976,-0.13751,-0.16574,0.8238
1.0281,-0.14268,-0.1783,0.8314
1.0631,-0.15956,-0.18149,0.84399
1.084,-0.17354,-0.17773,0.84174
1.0819,-0.1714,-0.17869,0.83456
1.0979,-0.16986,-0.18754,0.84485
1.1156,-0.1744,-0.18201,0.8467
1.1394,-0.18654,-0.17913,0.83288
