# x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
790.87,772.98,788.41,827,899.58,1001.4,1070.9,1105.5,1119.9,1106.3,798.59,736.62,731.71,787.5,838.58,835.82,781.03,724.3,727.22,789.59
791.2,773,789.27,827.06,899.74,1001.4,1071.2,1106.3,1120.8,1106.3,798.46,736.6,732.15,787.33,838.59,836.07,781.1,724.73,727.9,789.69
791.06,773.06,789.17,827.06,899.74,1001.4,1071.2,1106.3,1120.8,1106.1,798.58,736.68,732.1,787.33,838.59,835.86,781.1,724.73,727.9,789.91
790.97,772.95,789.27,826.9,899.79,1001.4,1071.2,1106.3,1120.8,1106.4,798.58,736.46,732.15,787.45,838.5,836.07,781.1,724.63,727.65,789.96
790.97,773.03,788.89,826.9,899.79,1001.4,1071.2,1106.3,1120.8,1106.4,798.58,736.53,732.11,787.45,838.5,836.07,781.1,724.63,727.81,789.96
791.15,773.24,789,826.9,899.77,1001.5,1070.9,1106.3,1120.8,1106.3,798.38,736.53,732.02,787.45,838.69,835.77,781.22,724.73,727.81,789.88
790.9,773.09,789.36,826.9,899.74,1001.5,1071.2,1106.3,1120.8,1106.3,798.45,736.84,732,787.45,838.59,835.77,781.1,724.73,727.65,789.88
790.91,773.03,789.24,826.84,899.79,1001.5,1071.5,1106.8,1121,1106.4,798.3,736.53,731.98,787.38,838.5,835.89,781.21,724.83,728,789.81
790.63,772.79,788.86,826.5,899.96,1001.4,1071.4,1106.9,1121,1106.6,798.37,736.88,732,787.21,838.6,836.07,781.3,724.83,728,789.59
790.55,772.29,788.5,826.26,900,1001.7,1072,1106.7,1121.3,1107,798.58,736.68,732.23,787.59,838.5,836.13,781.62,724.77,727.88,789.6
790.5,771.82,787.91,826.14,899.96,1001.7,1072.3,1106.9,1121.5,1107.3,798.5,736.85,732.2,787.57,838.4,836.13,781.33,724.33,727.86,789.73
789.63,771.29,787.22,825.55,899.96,1001.6,1072.4,1107.2,1122.6,1107.8,798.53,737,732.32,787.42,838.4,836.04,781.08,724.38,727.68,789.92
789.17,770.83,786.66,825.16,899.92,1001.8,1072.6,1107.8,1122.4,1108.1,798.83,737.11,732.34,787.38,838.08,835.88,781.04,724.43,727.76,790
789,769.91,785.44,824.55,899.93,1001.7,1073,1108.8,1123.1,1108.2,798.8,737.2,732.53,786.58,837.59,835.88,780.89,724.69,728.07,789.8
788.41,769.08,784.69,824.39,899.96,1001.4,1073.4,1109.2,1123.7,1108.5,798.93,737.46,732.59,786.82,837.4,835.04,780.93,724.76,728.13,790
788,767.69,783.32,823.65,899.93,1001.5,1073.8,1110.6,1125.1,1108.9,799,737.36,732.5,786.73,836.59,834.89,780.8,724.93,728.17,789.92
787.5,766.59,781.92,822.67,899.59,1001.5,1074.5,1111.4,1126.1,1109.6,799.21,737.66,732.69,786.44,835.86,834.42,780.17,724.81,728.25,790.08
786.59,765.05,780.59,822.24,900,1001.4,1074.8,1113,1127.2,1110.1,799.28,738.32,732.74,785.8,835.17,833.17,779.9,724.7,728.45,790
785.58,763.03,778.89,821.5,899.7,1001.6,1075.8,1114,1128.5,1110.7,799.45,738.7,732.94,785.21,834.22,832.41,779.43,724.66,728.73,790.22
784.59,761.33,777.15,820.5,900,1001.3,1076.3,1115,1129.2,1111.6,799.45,738.82,732.63,784.73,833,831.19,778.88,724.66,728.93,790.32
783.57,759.5,774.73,819.35,899.45,1001.4,1076.9,1117,1131.1,1112.4,800.04,739.63,732.92,784,831.41,830.46,778.12,724.66,729.25,790.35
782.29,757.59,772.72,818.57,899.76,1001.4,1077.8,1118.8,1133.1,1113.3,800.64,740.34,733.15,782.79,830.24,828.63,777.8,724.43,729.41,790.5
781.38,755.18,770.69,816.9,899.72,1001.1,1078.6,1120.9,1134.8,1114.4,800.83,741.18,733.31,782.62,828.41,827.52,776.82,724.71,730,790.76
780.41,752.66,767.77,815.91,899.63,1001.1,1079.5,1122.6,1137.3,1115.2,800.93,742.17,733.86,781.7,826.63,825.79,776,724.81,730.96,790.92
778.94,749.77,765.05,814.56,899.64,1001.1,1080.5,1124.4,1139.2,1116.1,801.35,743.26,734.23,780.68,824.46,823.93,775.21,724.44,731.3,791.19
777.78,747.09,762.63,813.23,899.28,1000.8,1081.5,1126.8,1141.5,1117.3,802,744.2,734.65,779.19,822.59,821.71,774.17,724.86,732.07,791.71
776.5,744.62,759.67,811.63,899.5,1000.7,1082.7,1129,1144.2,1118.5,802.5,745.76,735.36,778.37,819.6,819.28,772.73,725.03,732.9,792
775.41,741.78,756.77,810.5,899.03,1000.7,1083.6,1131.9,1147,1119.9,803.28,747.32,735.92,777,817.1,816.91,772.07,725.71,734,792.42
773.71,739.1,753.7,809.21,898.71,1000.6,1084.6,1134.7,1149.2,1120.8,803.93,748.85,736.46,775.5,814.19,814.55,770.96,725.81,735.18,792.8
772.69,735.8,750.81,807.28,898.63,1000.1,1086.1,1137,1151.8,1122.1,804.88,750.46,737.19,774.59,810.84,811.7,769.48,725.9,736.37,793.42
