x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
783.76,766.88,783.15,820.39,892.79,994.97,1066,1101.7,1116.8,1100.3,828.3,765.72,761.4,817.82,870.5,868.87,815.59,759.03,762.61,824.47
783.71,766.91,783.29,820.38,892.89,994.91,1066.2,1102,1117,1100.5,828.21,765.74,761.44,818.14,870.58,869.09,815.63,759.13,762.86,824.5
783.88,766.94,783.29,820.22,892.89,994.91,1066.2,1102.2,1117,1100.5,828.17,765.83,761.44,818.09,870.58,869.09,815.52,759.21,762.75,824.5
783.76,766.91,783.29,820.22,892.63,994.91,1066.2,1102.2,1116.9,1100.5,828.12,765.65,761.44,818.09,870.53,869.09,815.63,759.21,762.86,824.5
783.64,766.91,783.29,820.14,892.89,994.91,1066.2,1101.9,1116.9,1100.6,828.12,765.74,761.44,818,870.58,869.09,815.63,758.91,762.86,824.42
783.71,766.91,783.29,820.14,892.89,994.91,1066.2,1101.9,1116.9,1100.4,828.21,765.74,761.44,818,870.58,869.09,815.63,758.91,762.86,824.47
783.71,766.83,783.2,820,892.89,994.91,1066.2,1102.1,1116.9,1100.6,828.21,765.57,761.46,818,870.58,869.09,815.63,758.91,762.86,824.43
783.6,766.75,783.15,820,892.73,995,1066.4,1102.4,1117.1,1100.6,828.24,765.61,761.38,818,870.82,869.29,815.71,758.96,762.91,824.43
783.5,766.75,782.82,819.67,892.89,995,1066.6,1102.5,1117,1100.6,828,765.61,761.5,818.13,870.58,869.17,815.32,759.11,762.91,824.43
782.92,766.23,782.76,819.5,892.89,995,1066.6,1102.4,1117.5,1100.8,828.08,765.37,761.58,818,870.58,869.17,815.44,758.93,762.71,824.53
782.48,765.65,782.11,818.8,892.9,995,1067.1,1103.2,1118.1,1101.8,828.48,765.71,761.71,817.88,870.45,869.17,815.28,758.9,762.91,824.53
782,764.91,781.17,818.56,892.91,995,1067.5,1103.6,1118.5,1102.1,828.83,765.74,761.69,817.8,870.09,869.17,815.26,759.18,763,824.7
